current_density_A_cm2,voltage_V,voltage_clean_V,temperature_C,stoich_anode,stoich_cathode,E_nernst_V,eta_act_V,eta_ohm_V,eta_mt_V,i0_A_cm2,alpha,R_ohm_ohm_cm2,i_L_A_cm2,p_H2_atm,p_O2_atm,curve_id
0.1,0.5317709975984583,0.5268038560683459,50,1.2,2.0,1.1968851947900756,0.6547242487552618,0.015,0.00035708996646790787,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.17368421052631577,0.4833464123135664,0.48472905532527827,50,1.2,2.0,1.1968851947900756,0.6854710594478273,0.026052631578947365,0.0006324484380226553,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.24736842105263157,0.4601710429134083,0.4536941575324014,50,1.2,2.0,1.1968851947900756,0.7051666257584114,0.03710526315789473,0.0009191483413680761,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.32105263157894737,0.4430519659560539,0.42782166739197364,50,1.2,2.0,1.1968851947900756,0.7196874684427375,0.0481578947368421,0.0012181642185223654,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.39473684210526316,0.4026079266742473,0.4049494604214806,50,1.2,2.0,1.1968851947900756,0.7311946061702346,0.05921052631578947,0.0015306018825709344,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.46842105263157896,0.3816964371177074,0.3840378066871992,50,1.2,2.0,1.1968851947900756,0.7407265071012605,0.07026315789473685,0.001857723106878994,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.5421052631578946,0.38029759331968244,0.3645054651646085,50,1.2,2.0,1.1968851947900756,0.7488629637454867,0.08131578947368419,0.0022009764062962288,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.6157894736842104,0.3536682249973752,0.3459938777058461,50,1.2,2.0,1.1968851947900756,0.755960860223364,0.09236842105263156,0.0025620358082340177,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.6894736842105262,0.3235709830869933,0.3282657269463428,50,1.2,2.0,1.1968851947900756,0.762255564972896,0.10342105263157893,0.00294285023925783,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.763157894736842,0.316580887319764,0.31115528688390437,50,1.2,2.0,1.1968851947900756,0.7679105164775333,0.1144736842105263,0.0033457072181116913,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.8368421052631578,0.28990754405392616,0.2945417209820508,50,1.2,2.0,1.1968851947900756,0.7730438418826848,0.12552631578947368,0.0037733161358662784,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.9105263157894736,0.27367633256632734,0.2783336301020299,50,1.2,2.0,1.1968851947900756,0.7777436984917807,0.13657894736842105,0.004228918827843976,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.9842105263157893,0.2648791735589248,0.2624595508432645,50,1.2,2.0,1.1968851947900756,0.7820776260721108,0.1476315789473684,0.0047164389273318475,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
1.0578947368421052,0.22772898061524982,0.2468617830618278,50,1.2,2.0,1.1968851947900756,0.7860985136385098,0.1586842105263158,0.0052406875634222515,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
1.131578947368421,0.21424296874722476,0.23149214707235508,50,1.2,2.0,1.1968851947900756,0.7898485526055227,0.16973684210526316,0.0058076530069347,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
1.2052631578947368,0.21068598629659394,0.21630886158900367,50,1.2,2.0,1.1968851947900756,0.7933619404568916,0.18078947368421053,0.006424919059969836,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
1.2789473684210526,0.19114570990769947,0.2012740211110437,50,1.2,2.0,1.1968851947900756,0.7966667807977623,0.1918421052631579,0.007102287618111678,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
1.3526315789473684,0.1894937428375786,0.18635126951162587,50,1.2,2.0,1.1968851947900756,0.7997864504096756,0.20289473684210527,0.007852738026668915,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
1.4263157894736842,0.16242301368767847,0.17150325444289058,50,1.2,2.0,1.1968851947900756,0.802740603234558,0.21394736842105264,0.0086939686915744,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
1.5,0.14256523224668277,0.15668826926003568,50,1.2,2.0,1.1968851947900756,0.8055459211865346,0.22499999999999998,0.009651004343505394,7.843869937977802e-07,0.5,0.15,2.0,1.0,0.21,0
0.1,0.5430867068206262,0.5284302191314106,50,1.2,2.5,1.198438659511103,0.6547242487552618,0.015,0.0002841916244305232,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.17368421052631577,0.4841559267943222,0.48641368979918753,50,1.2,2.5,1.198438659511103,0.6854710594478273,0.026052631578947365,0.0005012786851407574,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.24736842105263157,0.4561166989982241,0.4554414169513449,50,1.2,2.5,1.198438659511103,0.7051666257584114,0.03710526315789473,0.0007253536434519567,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.32105263157894737,0.4153889330922703,0.4296364149544049,50,1.2,2.5,1.198438659511103,0.7196874684427375,0.0481578947368421,0.0009568813771184547,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.39473684210526316,0.4013933250252678,0.40683715227051964,50,1.2,2.5,1.198438659511103,0.7311946061702346,0.05921052631578947,0.0011963747545592682,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.46842105263157896,0.3871138189355979,0.3860045930384992,50,1.2,2.5,1.198438659511103,0.7407265071012605,0.07026315789473685,0.0014444014766063283,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.5421052631578946,0.35504837833501685,0.3665583141092399,50,1.2,2.5,1.198438659511103,0.7488629637454867,0.08131578947368419,0.0017015921826922104,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.6157894736842104,0.3518977083058674,0.3481407281224107,50,1.2,2.5,1.198438659511103,0.755960860223364,0.09236842105263156,0.0019686501126967293,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.6894736842105262,0.32450929231038295,0.330515679209571,50,1.2,2.5,1.198438659511103,0.762255564972896,0.10342105263157893,0.0022463626970570137,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.763157894736842,0.31060190576890145,0.3135188432668342,50,1.2,2.5,1.198438659511103,0.7679105164775333,0.1144736842105263,0.002535615556209177,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.8368421052631578,0.2910140261801021,0.29703109230239605,50,1.2,2.5,1.198438659511103,0.7730438418826848,0.12552631578947368,0.0028374095365483487,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.9105263157894736,0.2994859138867463,0.2809631320416569,50,1.2,2.5,1.198438659511103,0.7777436984917807,0.13657894736842105,0.003152881609244314,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.9842105263157893,0.2651111515111257,0.26524612375850504,50,1.2,2.5,1.198438659511103,0.7820776260721108,0.1476315789473684,0.0034833307331186593,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
1.0578947368421052,0.23924857588933224,0.24982568517889123,50,1.2,2.5,1.198438659511103,0.7860985136385098,0.1586842105263158,0.0038302501673861556,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
1.131578947368421,0.24288334565508157,0.23465789653404967,50,1.2,2.5,1.198438659511103,0.7898485526055227,0.16973684210526316,0.004195368266267453,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
1.2052631578947368,0.20749810829434723,0.21970654479405746,50,1.2,2.5,1.198438659511103,0.7933619404568916,0.18078947368421053,0.004580700575943395,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
1.2789473684210526,0.2070297921871746,0.20494115623712705,50,1.2,2.5,1.198438659511103,0.7966667807977623,0.1918421052631579,0.004988617213055675,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
1.3526315789473684,0.1707388397796755,0.19033554101847325,50,1.2,2.5,1.198438659511103,0.7997864504096756,0.20289473684210527,0.005421931240848878,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
1.4263157894736842,0.16258481094616672,0.17586667143515103,50,1.2,2.5,1.198438659511103,0.802740603234558,0.21394736842105264,0.0058840164203413136,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
1.5,0.16348238379047977,0.16151377143178855,50,1.2,2.5,1.198438659511103,0.8055459211865346,0.22499999999999998,0.006378966892779872,7.843869937977802e-07,0.5,0.15,2.5,1.0,0.2625,1
0.1,0.5371323362690515,0.5297476704690974,50,1.2,3.0,1.1997079326076996,0.6547242487552618,0.015,0.00023601338334036358,7.843869937977802e-07,0.5,0.15,3.0,1.0,0.315,2
0.17368421052631577,0.4894827390011551,0.48776905618925537,50,1.2,3.0,1.1997079326076996,0.6854710594478273,0.026052631578947365,0.0004151853916695543,7.843869937977802e-07,0.5,0.15,3.0,1.0,0.315,2
