current_density_mA_cm2,temperature_C,electrode_thickness_mm,flow_rate_mL_s,SOC,V_discharge_V,V_charge_V,voltage_efficiency,pumping_power_W,E_nernst_V,eta_act_discharge_V,eta_act_charge_V,eta_ohm_V,eta_mt_V,R_ohm_ohm_cm2,i_L_A_cm2,V_discharge_clean_V,V_charge_clean_V,voltage_efficiency_clean,cycle_id
50.0,25.0,3,10,0.1,0.8997289746528371,1.3944615619690302,0.6524499518311618,0.007585185185185184,1.1470952683109337,0.2366373968298785,0.2366373968298785,0.00925,0.0007875753223621659,0.185,1.6562465615116801,0.900420296158693,1.3937702404631742,0.6460320862206583,0
50.0,25.0,3,10,0.3,0.9774016428468295,1.4555212885872304,0.6713993719690935,0.007585185185185184,1.21646146571703,0.2366373968298785,0.2366373968298785,0.00925,0.0007875753223621659,0.185,1.6562465615116801,0.9697864935647894,1.4631364378692706,0.6628134386271355,1
50.0,25.0,3,10,0.5,1.0121543430630136,1.5078456569369865,0.6694075211907118,0.007585185185185184,1.26,0.2366373968298785,0.2366373968298785,0.00925,0.0007875753223621659,0.185,1.6562465615116801,1.0133250278477595,1.5066749721522406,0.6725571517261315,2
50.0,25.0,3,10,0.7,1.060700735776494,1.546376332789446,0.7032862294362211,0.007585185185185184,1.30353853428297,0.2366373968298785,0.2366373968298785,0.00925,0.0007875753223621659,0.185,1.6562465615116801,1.0568635621307294,1.5502135064352105,0.6817535505551344,3
50.0,25.0,3,10,0.9,1.1289425597547555,1.6168669036233771,0.6888546679086673,0.007585185185185184,1.3729047316890663,0.2366373968298785,0.2366373968298785,0.00925,0.0007875753223621659,0.185,1.6562465615116801,1.1262297595368258,1.619579703841307,0.695383967127794,4
50.0,25.0,3,20,0.1,0.8983248333995565,1.395865703222311,0.640317316386062,0.030340740740740738,1.1470952683109337,0.2366373968298785,0.2366373968298785,0.00925,0.0005543893136473836,0.185,2.342286349923623,0.9006534821674078,1.3935370544544596,0.6463075232111389,5
50.0,25.0,3,20,0.3,0.9604532783502152,1.472469653083845,0.6662872897688255,0.030340740740740738,1.21646146571703,0.2366373968298785,0.2366373968298785,0.00925,0.0005543893136473836,0.185,2.342286349923623,0.9700196795735042,1.462903251860556,0.6630784902144482,6
50.0,25.0,3,20,0.5,1.010746776210269,1.509253223789731,0.6496050030676838,0.030340740740740738,1.26,0.2366373968298785,0.2366373968298785,0.00925,0.0005543893136473836,0.185,2.342286349923623,1.013558213856474,1.506441786143526,0.6728160511606437,7
50.0,25.0,3,20,0.7,1.0586679848024203,1.5484090837635196,0.6681914117335788,0.030340740740740738,1.30353853428297,0.2366373968298785,0.2366373968298785,0.00925,0.0005543893136473836,0.185,2.342286349923623,1.057096748139444,1.549980320426496,0.6820065611210928,8
50.0,25.0,3,20,0.9,1.119401427038864,1.6264080363392688,0.682995161240172,0.030340740740740738,1.3729047316890663,0.2366373968298785,0.2366373968298785,0.00925,0.0005543893136473836,0.185,2.342286349923623,1.1264629455455404,1.6193465178325923,0.6956281025343791,9
